Material;Descrição;Status;PP_TIPO_SACO_COLADO;PP_ALTURA_UTIL;PP_FACE;PP_PATCH;PP_FUNDO;PP_FUNDO_INF;PP_VALVULA;PP_PERFURADO_TUBEIRA;PP_PERFURADO_COLADEIRA;PP_FUROS_COLADEIRA;PP_DIAMETRO_FUROS_COLADEI;PP_NUMERO_FOLHAS;PP_PAPEL_EXTERNO;PP_GRAMATURA_EXTERNO;PP_PAPEL_2;PP_GRAMATURA_2;PP_PAPEL_3;PP_GRAMATURA_3;PP_PAPEL_4;PP_GRAMATURA_4;PP_PAPEL_5;PP_GRAMATURA_5;PP_PAPEL_INTERNO;PP_GRAMATURA_INTERNO;PP_TIP_PERF_FOL_EXT;PP_TIP_PERF_FOL_2;PP_TIP_PERF_FOL_3;PP_TIP_PERF_FOL_4;PP_TIP_PERF_FOL_5;PP_TIP_PERF_FOL_INT;PP_LARGURA_PEAD;PP_PERMEANCIA
806207;COLVA 99X73 ECO CEMENT 42,5kg;L;COLVA;590;485;X;100;100;100;S;S;92;1.00;3;SAK;75;SAK;75;;;;;;;SAK;75;NÃO PERFURAR;NANO PERF TOT;;;;NANO PERF TOT;;80
806275;COLME116x110 AMORPHOUS PRECIP 322180 TST;L;COLME;890;570;T;155;155;155;S;N;;;3;SAK;90;PAS;25;;;;;;;SAK;90;NÃO PERFURAR;NANO PERF TOT;;;;NÃO PERFURAR;1150;14
806317;COLMI 100x70 GENERICO;L;COLMI;525;490;X;140;140;140;S;N;;;3;SBK;73;SAK;70;;;;;;;SAK;70;MIC PERF LAT;MIC PERF TOTAL;;;;MIC PERF TOTAL;;70
823627;COLVA 99X73 TGI ECO PLUS 42,5KG;L;COLVA;590;485;X;100;100;100;N;S;92;1.00;3;SAK;75;SAK;75;;;;;;;SAK;75;;;;;;;;60
823902;COLMI 76x50 PSP CINZA 20kg RESIN TST;L;COLMI;370;370;X;95;95;95;S;N;;;2;SDK;70;;;;;;;;;RVK;75;NÃO PERFURAR;;;;;NANO PER VERSO;;20
823942;COLMI 91X67  GM BL 653046146586 SKBL;L;COLMI;495;445;X;140;140;140;N;N;;;3;SBK;83;PAS;10;;;;;;;SAK;85;;;;;;;900;6
825106;COLMI 91X67  BG BG 653046146449 BLUE;L;COLMI;495;445;X;140;140;140;N;N;;;3;SBK;83;PAS;10;;;;;;;SAK;85;;;;;;;900;6
825184;COLVA 99X73 TGI ECO PLUS PAX 90;L;COLVA;590;485;X;100;100;100;S;N;;;3;SAK;90;PAX;8;;;;;;;SAK;90;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;980;65
825185;COLVA 99X73 TGI ECO PLUS 42,5kg;L;COLVA;590;485;X;100;100;100;N;S;92;1.00;3;SAK;75;SAK;75;;;;;;;SAK;75;;;;;;;;60
825780;COLMI 91X67  BG STB BLANK BLUE;L;COLMI;495;445;X;140;140;140;N;N;;;3;SBK;83;PAS;10;;;;;;;SAK;85;;;;;;;900;6
825918;COLVA 99X73 TGI ECO PLUS PAX 90 42,5KG;L;COLVA;590;485;X;100;100;100;S;N;;;3;SAK;90;PAX;8;;;;;;;SAK;90;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;980;65
825927;COLME 112x76 ALMIDON 25KG;L;COLME;560;550;C;160;180;160;S;N;;;2;SAK;86;;;;;;;;;SAK;76;NÃO PERFURAR;;;;;MIC PERF TOTAL;;90
827072;COLMI 109X80 OX ZINCO 3015195;L;COLMI;615;535;T;140;140;140;S;N;;;3;SBK;83;SAK;60;;;;;;;SAK;60;MIC PERF TOTAL;MIC PERF TOTAL;;;;MIC PERF TOTAL;;110
827132;COLMI 109X80 OX ZINCO ZNO NA 3015190;L;COLMI;615;535;T;140;140;140;S;N;;;3;SBK;83;SAK;60;;;;;;;SAK;60;MIC PERF TOTAL;MIC PERF TOTAL;;;;MIC PERF TOTAL;;125
827289;COLME 114x84  PO CACAU PBR 412425;L;COLME;590;560;T;220;220;140;S;N;;;3;SAK;86;PAS;40;;;;;;;SAK;86;NÃO PERFURAR;MIC PERF VERSO;;;;NÃO PERFURAR;1130;25
827301;COLVA 102x73 MULT PROP IP 42,5KG TST;L;COLVA;595;500;N;110;110;110;S;N;;;2;SAK;90;;;;;;;;;SAK;90;NANO PERF TOT;;;;;NANO PERF TOT;;80
827533;COLMI 109X80 OX ZINCO A 3015044;L;COLMI;615;535;T;140;140;140;S;N;;;3;SBK;83;SAK;60;;;;;;;SAK;60;MIC PERF TOTAL;MIC PERF TOTAL;;;;MIC PERF TOTAL;;120
339521;COLME 104x88 TB 338;L;COLME;680;510;X;160;160;140;S;N;;;2;SAK;85;;;;;;;;;SAK;75;NÃO PERFURAR;;;;;MIC PERF TOTAL;;35
464851;COLMI 85X71 TYPE S;L;COLMI;555;410;X;120;120;120;S;S;24;1.50;4;SAK;70;SAK;70;SPA;10;;;;;SAK;70;MIC PERF TOTAL;MIC PERF TOTAL;NÃO PERFURAR;;;MIC PERF TOTAL;830;17
464856;COLMI 85X71 TYPE N;L;COLMI;555;410;X;120;120;120;S;S;24;1.50;4;SAK;70;SAK;70;SPA;10;;;;;SAK;70;MIC PERF TOTAL;MIC PERF TOTAL;NÃO PERFURAR;;;MIC PERF TOTAL;830;17
472128;COLME  115x85 DUMACIL SKU144745BFO C 20;C;COLME;615;565;C;200;200;140;S;N;;;3;BKI;83;SAK;85;;;;;;;SAK;85;NÃO PERFURAR;MIC PERF TOTAL;;;;MIC PERF TOTAL;;65
477339;COLME104x76 CORN STARCH CODE 0101;L;COLME;580;510;C;145;145;145;S;N;;;2;SAK;86;;;;;;;;;SAK;86;NÃO PERFURAR;;;;;MIC PERF TOTAL;;115
491864;COLME 95x68 VE TSPP 25KG;C;COLME;505;465;C;140;;140;S;N;;;3;SDK;70;SPE;95;;;;;;;SAK;70;NÃO PERFURAR;MIC PERF TOTAL;;;;MIC PERF TOTAL;;25
